epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,423.408,0.92295,0.63597,0.92338,0.85591,0.8044,0.84577,0.54607,1.23212,0.78863,1.08893,9.90472e-05,9.90472e-05,9.90472e-05
90,428.562,0.96027,0.65306,0.94158,0.86569,0.77853,0.84217,0.5465,1.22662,0.78357,1.08595,9.14341e-05,9.14341e-05,9.14341e-05
91,434.718,0.84074,0.59099,0.90065,0.8601,0.78469,0.8398,0.53202,1.22158,0.77918,1.08675,8.3821e-05,8.3821e-05,8.3821e-05
92,439.537,0.83886,0.57598,0.89682,0.827,0.78395,0.84188,0.53434,1.22288,0.77796,1.08701,7.62079e-05,7.62079e-05,7.62079e-05
93,443.854,0.82185,0.56104,0.88811,0.83147,0.77932,0.84345,0.53777,1.21102,0.77938,1.08354,6.85948e-05,6.85948e-05,6.85948e-05
94,448.458,0.82436,0.56899,0.88767,0.79655,0.83818,0.84734,0.53552,1.21856,0.78222,1.09415,6.09817e-05,6.09817e-05,6.09817e-05
95,453.018,0.81897,0.56426,0.89246,0.81568,0.8238,0.84562,0.53449,1.20059,0.78597,1.08188,5.33686e-05,5.33686e-05,5.33686e-05
96,457.713,0.82416,0.56458,0.894,0.83004,0.81301,0.8452,0.53385,1.20447,0.79162,1.0812,4.57555e-05,4.57555e-05,4.57555e-05
97,462.515,0.81153,0.55302,0.88763,0.82402,0.82323,0.84344,0.53527,1.19621,0.78901,1.07463,3.81424e-05,3.81424e-05,3.81424e-05
98,467.459,0.83202,0.56944,0.89533,0.83756,0.81258,0.84371,0.54113,1.20027,0.78435,1.07793,3.05293e-05,3.05293e-05,3.05293e-05
99,471.945,0.80778,0.55611,0.8949,0.83072,0.78825,0.84126,0.54005,1.20584,0.78757,1.08411,2.29162e-05,2.29162e-05,2.29162e-05
100,476.649,0.79976,0.55225,0.88629,0.84072,0.78624,0.84077,0.53187,1.2033,0.78564,1.08255,1.53031e-05,1.53031e-05,1.53031e-05
